AUTHOR,TITLE,MAP,PUB_YEAR,COMMENT,DEWEY_CALL_NO,CLIENT
"MACCULLOCH, BRIAN",MODELING FIELD CROP WATER DEMAND : PEREAUX RIVER WATERSHED,NO,2002,,711.3 MAC 2002,
"MARSHALL, ERIN",MULTIBEAM DATA FROM THE ANNAPOLIS BASIN [MAP],YES,2001,,MAP 574.92 MAR 2001,
"DALTON, MARK",MULTIPLE VIEWS OF THE CAPE BRETON AREA THROUGH SPATIAL ANALYST [MAP],YES,2001,,MAP 574.92 DAL 2001,
"SCALLION-POND, PAULA",MUNICIPAL INFORMATION SYSTEM DESIGN: SAMPLE PARKLAND/FACILITIES INVENTORY,NO,1994,,711.3 SCA,"HALIFAX COUNTY, NOVA SCOTIA - PLANNING"
"PETTIE, MEGAN",MUNICIPALITY OF THE DISTRICT OF DIGBY; AN ATTITUDE SURVEY,NO,1985,,711.3 PET,"PLANNING - DIGBY COUNTY, NOVA SCOTIA"
"CURRIE, ANGELA MARIE",MUNMAP ANALYSIS: A ZONING AND LAND USE CASE STUDY,NO,1990,,711.3 CUR,MUNMAP - COMPUTER PROGRAM
"BABIN, JOYCE E.",NEW FRANCE: A PRELIMINARY TOURISM STUDY,NO,1983,,711.3 BAB,PLANNING - NOVA SCOTIA
"ELLWOOD, CHRISTOPHER JAMES",NICTAUX-NICTAUX FALLS STUDY; FEASIBILITY FOR ADOPTING A PIT RECLAMATION PROGRAM USING COMPUTER APPLICATIONS,NO,1989,,711.3 ELL,MINES AND MINING - DATA PROCRESSING
"LANGILLE, THEA",NICTAUX'S NATURAL RESOURCES: CONFLICTS BETWEEN AGGREGATE EXTRACTION AND GROUNDWATER,NO,1993,,711.3 LAN,"NICTAUX, NOVA SCOTIA - PLANNING"
"DELONG, GREGG","NORTH NOVA SCOTIA HIGHLANDERS: ""NO RETREATING FOOTSTEPS"" [MAP]",YES,2001,,MAP 526.8 DEL 2001,
"DELONG, GREGG",NORTH NOVA SCOTIA HIGHLANDERS: THE BATTLE TO CAEN [MAP],YES,2001,,MAP 526.8 DEL 2001,
"LA FONTAINE, SEAN",NORTH PRESTON DEVELOPMENT POTENTIAL,NO,1989,,711.3 LAF,TOWNS & CITIES - PLANNING
"HILTON, SALLY",NOVA SCOTIA COASTAL WATER TRAIL : CASE STUDY MAPPING AND USER NEEDS ASSSESSMENT,NO,2000,,711.3 HIL 2000,
"BARNETT, TARA",OUTDOOR RECREATION MANAGEMENT ON THE ST. CROIX INTERNATIONAL WATERWAY,NO,2001,,711.3 BAR 2001,
"EDGAR, PAUL",PARCEL QUERY SYSTEM FOR THE GREATER MONCTON PLANNING DISTRICT COMMISSION,NO,1999,,711.3 EDG 1999,"MONCTON, N.B. - PUBLIC WORKS"
"FISHER, JENNIFER E.",PARK DESIGN PROPOSAL; TOWN OF WINDSOR,NO,1989,,711.3 FIS,"CITY PLANNING - WINDSOR, NOVA SCOTIA"
"BURBIDGE, MEGAN",PAVEMENT CONDITION MONITORING SYSTEM: TOWN OF BRIDGETOWN,NO,1999,,711.3 BUR 1999,PCMS (PAVEMENT CONDITION MONITORING SYSTEM)
"GERMANI, KRISTA",PENTICTON BRITISH COLUMBIA [MAP],YES,2001,,MAP 526.8 GER 2001,
"O'TOOLE, LISA",PERILS OF THE NORTH ATLANTIC RIGHT WHALE IN THE GULF OF MAINE [MAP],YES,2001,,MAP 526.8 OTO 2001,
"MCCUISH, FERN",PLAN OF THE TOWN AND HARBOUR OF LOUISBOURG WITH THE FRENCH BATTERIES THAT DEFENDED IT AND THOSE OF THE ENGLISH SHOWING THAT PART OF GABARUS BAY IN WHICH THEY LANDED & THE GROUND ON WHICH THEY ENCAMPED DURING THEIR SIEGE IN 2ND JUNE TO 26TH JULY 1758 [MAP],YES,2001,,MAP 526.8 MCC 2001,
"CLARKE, GAIL A.",PLANNING APPLICATIONS FOR SCANNED AIR PHOTOS: A LOOK AT ANNAPOLIS ROYAL,NO,1993,,711.3 CLA,"PLANNING - ANNAPOLIS ROYAL, NOVA SCOTIA"
"WILLIAMS, CHARLIE",PLANNING FOR URBAN FOREST FIRES,NO,2001,,711.3 WIL 2001,
"GRANTMYRE, CHARLES",PLANNING MAP USE - A MARITIME SURVEY,NO,1981,,711.3 GRA,CITY PLANNING
"MASON, GLANN",POPLAR STREET SUBDIVISION: A COMPUTER ASSISTED SOLAR ACCESS STUDY,NO,1983,,711.3 MAS,"PLANNING - STELLARTON, NOVA SCOTIA"
"HARRISON, RACHEL",PORT LORNE DUNEFIELD EM1000 SUN-ILLUMINATED TOPOGRAPHY [MAP],YES,2001,,MAP 574.92 HAR 2001,
"NACCARATO, MICHELE",PRESERVATION OF AGRICULTURAL LAND: ANNAPOLIS EAST END STUDY,NO,1998,,711.3 NAC,
"FORSYTHE, COLIN J.",PRESERVING THE PAST: THE TOWN OF KENTVILLE,NO,1997,,711.3 FOR,
